,city,cluster 1 probability,hpa_3yr_pred,mhv,md_retax,hpa_3yr_pred_scaled,mhv_scaled,md_retax_scaled,state,region,own_pct,grrent_yield,rent,percap_inc,monthly income to rent,inc. to rent scaled,home ownership scaled,num. neighborhoods,pop_est_5mile,pop_est_25mile,pop_ch_5mile,pop_ch_25mile,density_total,pop_est_5mile_scaled,pop_est_25mile_scaled,pop_ch_5mile_scaled,pop_ch_25mile_scaled,density_total_scaled,cluster 2 probability,cluster 3 probability,cluster 4 probability,cluster 5 probability
32,"Ann Arbor, MI",0.4324324324324324,0.1237214864864865,307514.0,4747.0,-0.2218441632926271,0.877357893862439,1.5089561582343474,MI,Midwest,69.47,8.94,1704.12,42968.94,2.17,1.94,0.31,37,52128.0,939667.0,2.052602891891892,4.588750162162162,34.54955521621621,2.088998914771281,2.611691933466596,0.2497976632526921,0.512664888255792,0.9176485824169442,0.302,0.16,0.013,0.107
33,"Anniston--Oxford, AL",0.15,0.1187727916666666,142405.5,530.0,-0.2539595502586616,-0.3897697401089749,-1.0090615249097317,AL,South,61.53,11.72,965.79,24058.58,2.08,-0.46,-0.33,26,25955.5,168781.5,0.0198398076923077,1.469941346153846,39.03147984615385,0.6131769850793404,-0.1281322699552597,0.027183515374509,-0.0535345890493137,1.111339065112123,0.317,0.133,0.192,0.208
34,"Apple Valley, OH",0.5666666666666667,0.2689828333333333,255507.0,2968.0,0.7208537671818361,0.4782294004175144,0.4466954377426906,OH,Midwest,71.3,9.63,1131.25,27233.0,2.04,-0.06,0.45,6,6111.0,106954.0,1.8358668333333328,2.2325198333333334,0.4673403333333333,-0.5058199882236197,-0.3478749956091536,0.2260622297604572,0.0849065807424779,-0.5552455862826852,0.04,0.0,0.0,0.42
35,"Appleton, WI",0.5571428571428572,0.2639903809523809,208732.5,3924.5,0.6884544081666797,0.1192578058890928,1.0178322444600991,WI,Midwest,69.14,8.39,1068.72,35094.45,2.75,0.94,0.28,42,59668.5,359179.5,0.0468419047619047,3.7856243571428574,26.10288016666667,2.5141946454367536,0.5485662133903401,0.0301405982125414,0.3668626163505301,0.552617774761587,0.104,0.242,0.004,0.062
36,"Arab, AL",0.7333333333333334,0.2553325,240359.0,825.5,0.6322676342363173,0.3619758495742872,-0.8326151826358223,AL,South,77.48,7.49,976.0,26447.6,2.32,-0.15,0.95,6,7428.5,190405.0,-2.636705833333333,5.396778,2.786580166666667,-0.4315284458654524,-0.0512796262582483,-0.2637429820482277,0.6593570923702167,-0.455017510200453,0.175,0.0,0.0,0.025
37,"Arcadia--Southeast Arcadia, FL",0.2888888888888889,0.4079321111111111,197508.0,2368.0,1.6225884643007875,0.0331152140327551,0.0884287529225703,FL,South,62.87,11.98,1114.62,18006.0,1.34,-1.22,-0.22,9,1426.0,181530.0,-13.225499111111112,4.02214,8.560681333333331,-0.7699990212012391,-0.0828224945640719,-1.423354355805,0.409800494643304,-0.2054844335770689,0.2,0.182,0.018,0.291
38,"Archer Lodge--Clayton, NC",0.5,0.1736343333333333,253511.0,2083.5,0.10207364724661,0.4629110687906936,-0.0814493667963033,NC,South,76.86,8.52,1469.5,29511.5,1.69,0.23,0.9,6,27617.5,634546.0,14.586054333333331,9.748666666666669,4.274435166666667,0.7068942855721478,1.5272534523013903,1.6223745436065105,1.449414205108002,-0.3907184920497518,0.3,0.16,0.0,0.08
39,"Ardmore, OK",0.0571428571428571,0.1623737142857143,145859.0,1089.0,0.0289959668968342,-0.3632658030983408,-0.6752763968856528,OK,South,59.97,12.1,1068.71,25847.57,2.0,-0.23,-0.46,7,22401.0,57796.0,-2.0360854285714285,-0.8436504285714286,60.358574,0.4127448884477612,-0.5225887218263565,-0.1979671911340745,-0.4735521440924664,2.033008995380777,0.229,0.343,0.114,0.257
40,"Arlington, TN",0.9142857142857144,-0.0087509999999999,315293.0,2743.0,-1.0815466345032465,0.9370579448268874,0.3123454309351455,TN,South,84.38,7.44,1715.4,37441.8,2.0,1.24,1.5,7,20964.0,764767.0,1.900802142857143,1.164984142857143,3.5139322857142856,0.3317149481299727,1.9900752949664775,0.2331734955588229,-0.1088975879676032,-0.4235843214121679,0.055,0.0,0.0,0.0
41,"Asheboro, NC",0.2777777777777778,0.1784741111111111,161228.0,1379.5,0.1334821987580987,-0.2453161844747893,-0.5018156103185779,NC,South,64.78,9.67,1030.53,22818.53,1.86,-0.61,-0.07,18,10280.5,318706.0,-0.8494751111111111,0.8865805,10.715073166666668,-0.2707091071136551,0.4047182944747625,-0.0680178395651964,-0.1594399605094703,-0.1123804149763163,0.475,0.092,0.067,0.058
